Depth_cm	Site	qs	means	sd
94	50-75	Site_3	q0f=PD Faith	181.471605743406	99.1606132962233
95	50-75	Site_3	q1=Exp Shannon	302.48109282139	63.0359533388845
96	50-75	Site_3	q2=Inv Simpson	64.0086198934135	51.2707557050926
97	50-75	Site_4	q0=Observed	4596	NA
98	50-75	Site_4	q0f=PD Faith	291.956602432265	NA
99	50-75	Site_4	q1=Exp Shannon	1322.06738790703	NA
100	50-75	Site_4	q2=Inv Simpson	320.634677644599	NA
101	50-75	Site_5	q0=Observed	3199	1094.60129727678
102	50-75	Site_5	q0f=PD Faith	230.352096778519	58.6027556447921
103	50-75	Site_5	q1=Exp Shannon	746.265896902871	229.935364248603
104	50-75	Site_5	q2=Inv Simpson	237.877813911454	88.711396569687
105	50-75	Site_7	q0=Observed	2983.5	720.541810029092
106	50-75	Site_7	q0f=PD Faith	232.080761501469	36.9314328294018
107	50-75	Site_7	q1=Exp Shannon	726.519737306908	111.447809768272
108	50-75	Site_7	q2=Inv Simpson	191.919414322821	108.12679549717
