""	"Raw"	"Qual_filter"	"Derep"	"ASVs.R1"	"ASVs.R2"	"Merged"	"nonchim"	"percentage_used"
"S1A015"	146449	131486	131486	126409	125568	107961	101284	69.1599123244269
"S1A1530"	143111	129739	129739	125462	124859	108757	102627	71.7114687200844
"S1A3050"	106847	95570	95570	91169	90809	77809	73612	68.8947747714021
"S1A5075"	117178	106327	106327	102257	101506	88159	82238	70.1821160968783
"S1B07"	123703	111926	111926	106707	106169	90755	77480	62.6338892346992
"S1B2230"	160127	145886	145886	139633	139487	118169	110045	68.7235756618184
"S1B3040"	113725	101786	101786	98067	98035	83319	75771	66.6265113211695
"S1B6575"	217973	199812	199812	191843	191543	160881	151190	69.3618016910351
"S2A1727"	118137	107866	107866	100715	102048	82306	77043	65.2149622895452
"S2A3545"	135121	122578	122578	115182	114928	96543	87177	64.5177285544068
"S2A5060"	154397	139733	139733	132840	132751	112233	102473	66.3698128849654
"S2A515"	163032	149239	149239	142306	141873	120383	113105	69.3759507335983
"S2B07"	165461	150788	150788	141511	142677	118889	109807	66.3642791957017
"S2B1522"	108550	99377	99377	94628	94149	80266	75349	69.4140948871488
"S2B3040"	133256	121376	121376	116866	116639	101016	94316	70.7780512697364
"S2B5565"	49553	44707	44707	42877	42537	36305	32870	66.3330171735314
"S3A07"	58110	52436	52436	49004	48911	40823	35055	60.3252452245741
"S3A1522"	74459	67540	67540	65058	64664	55781	50374	67.6533394216952
"S3A3040"	42676	38220	38220	35769	35518	29269	26953	63.1572780954166
"S3A6070"	28996	26430	26430	25385	25188	21626	19696	67.9266105669748
"S3B2030"	156024	141564	141564	135950	135673	116086	106546	68.288212069938
"S3B3545"	169593	153386	153386	146850	147165	124498	111772	65.9060220645899
"S3B6070"	932558	848826	848826	833733	832611	741955	679184	72.8302153860671
"S4B07"	157107	143725	143725	136145	135947	115119	108045	68.7716015199832
"S4B1522"	108787	99878	99878	95186	94858	80874	75688	69.574489598941
"S4B3040"	138671	126235	126235	120937	120518	103349	95926	69.1752421198376
"S4B5565"	116473	106490	106490	101529	100956	85362	79752	68.4725215285946
"S5A07"	269147	242244	242244	234338	233702	202930	174080	64.6784099395498
"S5A1522"	186798	168838	168838	163182	162672	141978	124644	66.7266244820608
"S5A3040"	171346	152833	152833	147546	147317	127961	114158	66.6242573506239
"S5A5565"	139778	127244	127244	123243	122502	107468	98682	70.5990928472292
"S5B07"	115967	105901	105901	100851	100511	86009	76823	66.2455698603913
"S5B1522"	137314	126288	126288	116491	118402	89141	78387	57.0859489928194
"S5B3040"	212847	193914	193914	184701	184449	155611	146668	68.9077130520985
"S5B5060"	396041	361545	361545	348355	350697	298422	277205	69.9940157710944
"S6A07"	98069	89147	89147	85233	84503	72951	67596	68.926979983481
"S6A1522"	116192	106048	106048	101828	100847	88323	82830	71.2871798402644
"S6A3040"	66635	60273	60273	57685	56965	49285	43878	65.8482779320177
"S6B07"	267476	242979	242979	232941	232888	200834	179721	67.1914489524294
"S6B1522"	288972	263452	263452	254749	254324	224077	203785	70.5206732832247
"S6B3040"	259553	233512	233512	224586	223991	194997	178936	68.9400623379425
"S7A07"	212271	190920	190920	181411	180859	153711	144186	67.9254349392993
"S7A1522"	155328	140096	140096	134973	134146	117678	111728	71.9303667078698
"S7A3040"	167529	150090	150090	144107	143202	123772	116101	69.302031290105
"S7A5060"	101033	92489	92489	85679	86721	67286	61977	61.3433234685697
"S7B07"	89583	79651	79651	74208	72881	60067	55268	61.6947411897347
"S7B1522"	143014	130648	130648	123492	122827	103879	97049	67.8597899506342
"S7B5060"	177986	161897	161897	156616	155373	135090	120351	67.6182396368254
