id	SampleID	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox mV	S-2	SO4
SRR9973320	SRR9973320	SAMN12325039	Cel	TM5.10	SRS5272937	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973321	SRR9973321	SAMN12325040	Cel	TM5.11	SRS5272936	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973322	SRR9973322	SAMN12325036	Cel	TM5.7	SRS5272935	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973323	SRR9973323	SAMN12325035	Cel	TM5.6	SRS5272934	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973324	SRR9973324	SAMN12325030	Cel	TM5.1	SRS5272933	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973325	SRR9973325	SAMN12325029	Cel	TM4.11	SRS5272932	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973326	SRR9973326	SAMN12325032	Cel	TM5.3	SRS5272931	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973327	SRR9973327	SAMN12325031	Cel	TM5.2	SRS5272930	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973328	SRR9973328	SAMN12325020	Cel	TM4.12	SRS5272929	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973329	SRR9973329	SAMN12325018	Cel	TM3.10	SRS5272928	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973330	SRR9973330	SAMN12325017	Cel	TM3.8	SRS5272927	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973331	SRR9973331	SAMN12325038	Cel	TM5.9	SRS5272926	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973332	SRR9973332	SAMN12325037	Cel	TM5.8	SRS5272925	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973333	SRR9973333	SAMN12325012	Cel	TM3.2	SRS5272924	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973334	SRR9973334	SAMN12325011	Cel	TM3.1	SRS5272923	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973335	SRR9973335	SAMN12325010	Cel	TM2.12	SRS5272922	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Dwarf	no						
SRR9973336	SRR9973336	SAMN12325009	Cel	TM2.11	SRS5272921	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Dwarf	no						
SRR9973337	SRR9973337	SAMN12325016	Cel	TM3.7	SRS5272920	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973338	SRR9973338	SAMN12325015	Cel	TM3.6	SRS5272919	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973339	SRR9973339	SAMN12325014	Cel	TM3.5	SRS5272918	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973340	SRR9973340	SAMN12325013	Cel	TM3.4	SRS5272917	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973341	SRR9973341	SAMN12325023	Cel	TM4.4	SRS5272916	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973342	SRR9973342	SAMN12325024	Cel	TM4.5	SRS5272915	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973343	SRR9973343	SAMN12325025	Cel	TM4.6	SRS5272914	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973344	SRR9973344	SAMN12325034	Cel	TM5.5	SRS5272913	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
SRR9973345	SRR9973345	SAMN12325026	Cel	TM4.7	SRS5272912	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973346	SRR9973346	SAMN12325019	Cel	TM4.1	SRS5272911	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Basin	no						
SRR9973347	SRR9973347	SAMN12325033	Cel	TM5.4	SRS5272910	2018-10-04	0.15		3	ENVO:01000181	ENVO:00000057	sediment	20.85 N 90.37 W	Mexico:Yucatan	Celestún	Fringe	no						
S1A015	S1A015	S1A015	RSP	S1A015		2023-09-28	0.15	1A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S1A1530	S1A1530	S1A1530	RSP	S1A1530		2023-09-28	16-30	1A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
S1A3050	S1A3050	S1A3050	RSP	S1A3050		2023-09-28	31-45	1A						Mexico:Tabasco	Rio San Pedro	Fringe	si	31.4	817.5	6.55	121	7.73	537
S1A5075	S1A5075	S1A5075	RSP	S1A5075		2023-09-28	50-70	1A						Mexico:Tabasco	Rio San Pedro	Fringe	no						
