# Constructed from biom file
#OTU ID	S1A015	S1A1530	S1A3050	S1A5075	S1B07	S1B2230	S1B3040	S1B6575	S2A1727	S2A3545	S2A5060	S2A515	S2B07	S2B1522	S2B3040	S2B5565	S3A07	S3A1522	S3A3040	S3A6070	S3B2030	S3B3545	S3B515	S3B6070	S4B07	S4B1522	S4B3040	S4B5565	S5A07	S5A1522	S5A3040	S5A5565	S5B07	S5B1522	S5B3040	S5B5060	S6A07	S6A1522	S6A3040	S6B07	S6B1522	S6B3040	S7A07	S7A1522	S7A3040	S7A5060	S7B07	S7B1522	S7B3040	S7B5060
K00011	22.0	106.0	36.0	23.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	99.0	49.0	0.0	22.0	15.0	8.0	146.0	84.0	0.0	5.0	33.0	190.0	40.0
K00012	172892.51	208507.33	146439.47	152739.61	175115.68	206152.66999999998	153586.47999999998	177332.74000000002	166343.39999999997	164387.42	214281.74	141651.96000000002	141820.07	168210.24	187275.83	127213.83	120729.41	142128.34	118721.73999999999	90519.53	200484.22999999998	171405.18	120231.45	532240.34	206402.66000000003	127070.41	182792.25	186295.69	173117.45	143508.91	201553.48	95548.97	170292.06	151805.53	271943.62	212627.34	188024.16999999998	172333.45	160136.78	211895.64	175829.66	153548.79000000004	184685.46	168183.96	211524.09999999998	64143.240000000005	128681.23	179796.22	204151.91999999998	150769.16999999998
K00013	152523.75	185459.38	131672.69	137004.58000000002	122815.57	187212.1	129813.04000000001	166315.75	158409.99	133894.32	181405.4	130130.81	119910.44	154126.71000000002	165177.96000000002	107393.63	84210.25	116446.35	101157.66	81847.73000000001	172363.97	140096.27	107625.67000000001	467755.36000000004	183045.70999999996	113312.59	162734.09999999998	168666.88	122525.43	110151.23999999999	162059.3	79227.04999999999	135826.31	129922.88	255941.18	195425.04	159488.89	150740.04	123252.1	158799.08	142729.99	127927.55	155456.09000000003	152481.47	185969.44999999998	55496.17	106790.04	156932.41999999998	162121.22999999998	117202.20000000001
K00014	173361.34	211527.34	148640.08000000002	156026.41	195035.78999999998	216573.90000000002	162909.03000000003	182327.56	171343.28	172352.06	222540.36000000002	142606.51	145686.2	170206.05	199265.22	131141.8	129843.57	150439.01	122260.38	112836.63	204393.69	176936.72999999998	127087.33000000002	574608.06	204832.24	129479.82	186088.39	186465.37	190806.01	156367.1	217526.95	99571.03	179114.15	159812.96	296609.44	230092.15999999997	188081.45	171363.21000000002	168245.71	222890.90999999997	181148.25	159305.77000000002	191780.5	167256.84	210392.95	63004.76	131735.53999999998	181619.66	212258.06	157296.90999999997
K00015	24441.57	28942.38	19468.05	18278.5	18000.2	41923.28	36264.340000000004	46144.84	43253.41	25203.52	39382.45	27308.37	20750.18	35264.65	33758.78999999999	27694.46	13096.75	31465.83	26268.659999999996	26026.22	42532.840000000004	34456.75	24546.280000000002	94822.34	31066.22	17893.29	28305.030000000002	29329.51	18784.96	13267.59	18306.03	15370.89	19457.93	17043.33	50164.62	51468.81	40709.12	40821.31	24736.31	43297.73	33249.33	28113.9	36974.85	39673.17	47054.56	13506.9	22852.9	33470.93	32842.03999999999	22398.75
K00016	39345.43	35306.12	30064.950000000004	34872.770000000004	86011.06	41863.02	51883.490000000005	28833.19	24015.609999999997	53216.5	58630.68	23941.019999999997	37374.18000000001	29437.12	36373.189999999995	36323.43	63836.670000000006	59136.44	34841.07	32240.17	47625.02000000001	51399.77	28675.82	144557.65999999997	40091.32000000001	23134.64	40471.89	34847.18	92280.53	62940.0	72785.38999999998	32008.1	60871.62000000001	38687.29	40243.810000000005	39516.92999999999	45981.93000000001	32498.090000000004	58529.53	85089.24999999999	53513.47	45626.30999999999	42801.65	27490.02	43025.61	11679.34	38114.04	36933.810000000005	68091.38	55068.100000000006
K00018	27425.44	31777.53	28487.269999999997	22599.54	35125.97	19004.82	14674.640000000001	10510.05	10269.39	21530.73	20301.42	9535.87	19723.91	17786.57	49971.05	11586.24	19387.760000000002	16013.16	10783.779999999999	10298.060000000001	15040.529999999999	16801.14	14713.45	123656.48	34662.63	15122.18	17787.91	17121.33	36059.340000000004	25596.519999999997	34651.29	12076.349999999999	30844.050000000003	26168.27	52637.17	35133.41	25128.39	15680.550000000001	20141.25	35043.01	19905.98	19056.6	31508.199999999997	13923.619999999999	19267.550000000003	4514.679999999999	20006.77	23696.300000000003	23830.489999999998	17677.75
K00019	44823.35	28942.83	24912.420000000002	17113.32	44589.11	17370.989999999998	24391.24	11389.2	10359.3	26195.89	24296.21	9501.33	20564.91	15480.8	27995.059999999998	12914.759999999998	25020.95	28416.76	13675.689999999999	16799.549999999996	17491.38	16969.43	15853.119999999999	84912.11	47559.93	18880.14	19803.1	19162.36	48509.59	33650.36	37661.68	13003.1	39961.11	29022.440000000002	51591.06	29293.07	42168.56	33739.7	29967.730000000003	55583.45	36214.47	27748.77	37229.53	26058.03	31181.46	5607.03	26538.25	32431.46	37130.380000000005	24055.49
K00020	80372.93	97108.83	68018.63	70889.65	107634.4	87680.25	79930.65	66952.66999999998	59540.63999999999	84757.97	98278.75	52926.270000000004	70677.33	78549.81	120984.18	59727.39	70953.42	81285.6	50501.340000000004	44666.11	82985.76000000001	75436.73000000001	60990.66	362813.12	90725.93	57327.43000000001	84626.92	79500.94	108543.47	75709.11	111149.55	50717.19	88057.58	78620.01	165967.23	131066.1	103435.20999999999	97079.52	88499.26000000001	140043.26	101611.23	84578.85	106754.32	89493.9	104455.37	26513.7	76420.16	101916.70999999999	116613.05	81407.56
K00021	27.0	280.75	102.0	205.25	106.25	731.25	188.75	434.0	948.5	284.25	424.5	517.75	182.5	650.25	313.5	293.5	213.0	182.25	202.5	58.75	508.0	394.0	286.0	807.0	86.25	260.25	363.25	431.0	66.75	60.25	258.75	260.75	73.0	151.25	1009.0	557.0	45.25	174.25	202.75	85.75	102.25	188.25	42.0	215.5	403.0	231.5	24.5	123.5	219.5	216.75
K00023	47793.95	38405.64	36547.55	22249.55	28937.21	5105.96	2488.49	2615.96	2906.7	14283.09	8165.66	4365.3	17717.0	10496.210000000001	23243.260000000002	2078.54	5165.2	5670.09	2687.16	2343.5	2480.24	2500.3	8393.45	80266.55	62212.3	20206.05	12191.2	16054.099999999999	30398.04	27796.300000000003	33680.24	3931.6600000000003	37120.490000000005	32482.2	55164.19	18092.739999999998	41522.9	28591.95	17299.25	37246.64	23663.25	19928.66	48572.55	24798.0	20514.8	2431.1	27505.15	33310.6	22208.760000000002	10821.3
K00024	148055.88	181428.43	126315.22	129410.49	113365.54999999999	177598.85	122899.96000000002	161510.58000000002	151390.74	127343.45000000001	171719.15	124535.33	114267.23000000001	147363.85	158315.36	102681.83	75815.05	109953.75	95816.43	79622.93	164752.78	136672.44999999998	103106.03	447922.82999999996	179125.96	109635.94	153039.23	161651.19	111577.84000000001	102168.6	151971.46	72872.89	128966.03	125112.13	241521.77000000002	186003.91999999998	152780.52	146180.41999999998	119076.68000000001	147817.15	134229.59	120921.66999999998	152551.89	147030.99	177826.75	55718.76	103635.12	152253.94	154852.85	112558.49
K00027	60568.020000000004	55487.090000000004	47839.69	63860.67	92933.72	62714.96	62392.659999999996	49179.03	40179.84	66436.17	76150.93	35787.16	44259.21	52132.61	111200.71	48737.56	68505.35	67423.76	44368.869999999995	38533.37	66052.07	66762.36000000002	39930.61	316864.05	59530.75	33075.25	55316.9	53051.149999999994	100890.82	71612.53	82380.84999999999	39574.86	71312.9	48878.14000000001	79643.98000000001	72439.18	67643.73999999999	51879.59999999999	70756.33	101059.59999999999	65859.94	56143.58	60356.159999999996	45652.71000000001	65556.35	20301.09	50926.67999999999	56324.5	85910.22	69141.51999999999
K00029	100533.82	115113.09	86858.30000000002	74403.23999999999	92003.57	60639.71000000001	42973.37	45795.28	41025.45	64660.33	65385.22	42987.979999999996	73524.16	52359.5	86336.45	35069.38	45399.8	51329.61	33215.24	29639.68	50840.2	48611.229999999996	39577.66	220281.12	126593.70000000001	64206.57	70651.95999999999	71711.61	93115.87	77830.36	112549.54000000001	33645.32000000001	96247.81	87886.20999999999	146692.66	82663.91	96795.07999999999	75032.08	67393.62	104403.5	77317.92	68221.22	105556.12	74524.47	81334.85	19451.84	65400.21	89666.01000000001	89158.53	60282.0
K00030	17451.35	37387.65	25976.16	37300.25	12830.26	81776.0	52902.17	82190.76000000001	71777.42000000001	40220.62	72455.85	53333.09	27446.58	73653.57	87720.23999999999	45362.66	19621.42	43511.59	49591.42	38760.759999999995	76755.93000000001	61856.520000000004	45487.0	216118.69	29463.840000000004	28248.58	51567.67	59525.85	10287.6	11292.0	26537.33	27853.72	17784.75	25472.989999999998	84191.09	85650.31	20906.82	34552.16	35686.85	20071.4	24797.75	26914.420000000002	25627.9	37237.840000000004	58852.5	25686.33	16058.83	31296.15	37898.93	31675.589999999997
K00031	162913.03	178168.11	128621.66	120847.2	148956.05	121944.95000000001	89389.64000000001	91989.28	91603.48	116341.73	127744.19000000002	85857.12	113981.16	98232.44	132254.95	74941.56	86937.22	95416.23000000001	63384.02	52171.62	110431.06999999999	96357.9	76580.22	375931.24	190024.24	101381.55	130602.53	127888.4	150757.16	126372.81000000001	168829.05	64197.82	151730.62	128018.23999999999	215222.88	137187.75	165817.53000000003	135966.53999999998	116258.04999999999	178624.71000000002	140957.08	118879.47	164488.97999999998	132087.09	149966.66999999998	37096.0	115164.93999999999	155113.18	157673.25	110645.65000000001
