id,(Intercept),Depths16-30,Depths31-45,Depths50-75
1CMET2-PWY,0.04341013872624216,0.0669900257858883,0.05775248874567425,0.056075433813052494
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,0.06188821360464989,0.0836024212031606,0.07679699658868679,0.09608507337080385
AEROBACTINSYN-PWY,0.1114724558757392,0.1453479949758534,0.14620276056598525,0.14347329075451237
ALL-CHORISMATE-PWY,0.04812268353731056,0.07016836769852493,0.06673303489361283,0.07068989017298019
ANAEROFRUCAT-PWY,0.026081279379384446,0.041190327698548974,0.04886134324521985,0.04104421174030346
ANAGLYCOLYSIS-PWY,0.04562775908716717,0.06716853407178328,0.0606368818708881,0.05886186411668135
ARG+POLYAMINE-SYN,0.03078483437294445,0.042219597400545185,0.039381652261251794,0.03611899718335999
ARGDEG-PWY,0.09478404856254233,0.14033237994396924,0.12321998669824721,0.1380166224396426
ARGORNPROST-PWY,0.03858859829839095,0.05451973894105013,0.059428147497375856,0.055098571881686736
ARGSYN-PWY,0.05143684647819111,0.0766282586405481,0.06734404360125053,0.06602246282780454
ARGSYNBSUB-PWY,0.0520087552394684,0.07684743794217667,0.06763038331156278,0.06649860168143792
ARO-PWY,0.04319826976470351,0.06465100858967052,0.05719318259656322,0.056735864254037816
ASPASN-PWY,0.04652642601838265,0.06545352644244018,0.05856700193435504,0.07429852636830842
AST-PWY,0.08235491268635123,0.10782566542456819,0.11516020965940144,0.133822828657946
BENZCOA-PWY,0.441010874375497,0.6500456684720027,0.6779878420816625,0.5748395349195343
BIOTIN-BIOSYNTHESIS-PWY,0.028666062382911677,0.04432987927640668,0.04332369463963382,0.04909395950333364
BRANCHED-CHAIN-AA-SYN-PWY,0.05427486894393016,0.0781425020274705,0.06836692771321431,0.06936400411800354
CALVIN-PWY,0.04597599232886954,0.07043378559791089,0.06251264290917155,0.06016806038415004
CATECHOL-ORTHO-CLEAVAGE-PWY,0.09456184312269457,0.13714909663769576,0.13065140191262112,0.18972760722232251
CENTBENZCOA-PWY,0.19938881803165123,0.22649171580862568,0.23831870704175742,0.2823310323030215
CENTFERM-PWY,0.11242536799821294,0.17242873377126827,0.15857485252746195,0.1358762658213107
CHLOROPHYLL-SYN,0.09367746788004472,0.12493179775121524,0.12825819112794715,0.12491961375748169
COA-PWY,0.05006326101917614,0.07473031264293914,0.06611762559323156,0.06526873752903808
COBALSYN-PWY,0.07110610212647497,0.10191576875747932,0.09114239379296067,0.08744233940093257
CODH-PWY,0.14649255159397034,0.17581820127902262,0.16070492820054003,0.16473446463283722
COLANSYN-PWY,0.048582203034162746,0.06676621783941446,0.06370735576423958,0.06864701456891524
COMPLETE-ARO-PWY,0.04427197045679983,0.06559883334966371,0.058060495069210884,0.0578352642577345
CRNFORCAT-PWY,0.33238847679901695,0.47937054268935014,0.5413266185919579,0.49954569547737165
DAPLYSINESYN-PWY,0.025439775641240257,0.03840639170233689,0.03756614450133825,0.03784278003512802
DENITRIFICATION-PWY,0.15585864657197393,0.3286476118001548,0.31700155370747035,0.3297192389935841
DENOVOPURINE2-PWY,0.04692336468326004,0.07769658143129125,0.06574606340232915,0.06249539305261125
DHGLUCONATE-PYR-CAT-PWY,0.08006043172188211,0.11155827701850654,0.1180589756160484,0.11664227819852159
DTDPRHAMSYN-PWY,0.04001248953124986,0.05498077860751691,0.051270489937747195,0.055443915674072704
ECASYN-PWY,0.08897629978820586,0.1260709041138423,0.12807823723037615,0.13054825899746944
ENTBACSYN-PWY,0.06938612196009586,0.10049388815047669,0.09301293158669134,0.10811500409823264
FAO-PWY,0.028956385382895394,0.037452371202296386,0.04341953651921987,0.04202540829609887
FASYN-ELONG-PWY,0.02919422232347256,0.0386798561876946,0.03621658110468386,0.035961848056027174
FASYN-INITIAL-PWY,0.03856502975994236,0.050407378138033455,0.050763243540764204,0.06406846240907238
FERMENTATION-PWY,0.030659922105206894,0.044349425512857046,0.044046293073711766,0.05214608801140065
FOLSYN-PWY,0.022916002884679373,0.02663285869054566,0.03152902455722468,0.03168134269087993
FUC-RHAMCAT-PWY,0.08239656502181433,0.11449168758203808,0.11678962194479164,0.11913471049544226
FUCCAT-PWY,0.08076636191814673,0.11146563974251769,0.11057631807026805,0.1211003015511071
GALACT-GLUCUROCAT-PWY,0.07675166509478952,0.10377999824883771,0.11271639606922852,0.1038613790519776
GALACTARDEG-PWY,0.056264049793140286,0.0809721175062995,0.08830885753762865,0.09762402272575299
GALACTUROCAT-PWY,0.07061880510258971,0.09623043318973659,0.10080629266421916,0.09768653853804021
GALLATE-DEGRADATION-I-PWY,0.13422467744971597,0.23765831882836186,0.26977266382349224,0.28600595649546845
GALLATE-DEGRADATION-II-PWY,0.17300107174601068,0.2537783137313575,0.24742424950120595,0.23099137041466195
GLCMANNANAUT-PWY,0.07837294921316901,0.10724165498554591,0.10671153185759989,0.1130885746499996
GLUCARDEG-PWY,0.05941797859178694,0.08049913180337338,0.08350304119116862,0.09558369195151914
GLUCARGALACTSUPER-PWY,0.056264049793140286,0.0809721175062995,0.08830885753762865,0.09762402272575299
GLUCONEO-PWY,0.0339238944034417,0.04884257934432856,0.049153383386780575,0.04567291430942471
GLUCOSE1PMETAB-PWY,0.05280055809341559,0.0785407754380884,0.07051933842921906,0.08609900635847734
GLUCUROCAT-PWY,0.08498706379752922,0.11754318366944778,0.11775483560245234,0.1163169059582015
GLUTORN-PWY,0.04687674521044,0.0658358709853648,0.059138445117241804,0.0617631681415905
GLYCOCAT-PWY,0.02550467168640173,0.038326646348180754,0.04569701614017423,0.0439198240433686
GLYCOGENSYNTH-PWY,0.03163971049165851,0.04464497757857143,0.04699261975471088,0.04866659488831058
GLYCOL-GLYOXDEG-PWY,0.06276848837358186,0.08748757918373937,0.09998434195917927,0.10758565627856803
GLYCOLYSIS,0.045654929148563825,0.06919655751740877,0.06142720217470531,0.06061616628971585
GLYCOLYSIS-E-D,0.0214918040042317,0.03468545575573952,0.03715360987307819,0.03349451894359179
GLYCOLYSIS-TCA-GLYOX-BYPASS,0.021218984412815677,0.029817635266364908,0.030608942019529583,0.04476785902124173
GLYOXYLATE-BYPASS,0.047155306237645064,0.07313926375681733,0.06703375309699937,0.0809379566805519
GOLPDLCAT-PWY,0.07798395503811945,0.10280643590073955,0.10772082459270108,0.1173163057519674
HCAMHPDEG-PWY,0.08019526340217135,0.1074844526882374,0.10005352514572631,0.11659542657464912
HEME-BIOSYNTHESIS-II,0.047401047493402085,0.05662810094401929,0.06031486794351736,0.058946881547531596
HEMESYN2-PWY,0.035843977950046756,0.04052819946112596,0.043144859475442075,0.044525113270844775
HEXITOLDEGSUPER-PWY,0.05204082941631263,0.07639002473993348,0.08866315391164233,0.0758955138205807
HISDEG-PWY,0.03698483812757728,0.06159598988633716,0.0616300892736758,0.053801959843370654
HISTSYN-PWY,0.05376479064245026,0.07597948030523978,0.06745171691172754,0.06851023581166413
HOMOSER-METSYN-PWY,0.045784731225190785,0.06407622958729159,0.06907570431237106,0.07193085240418426
HSERMETANA-PWY,0.026623993122154584,0.037491285196964035,0.038103110013763396,0.045180923014441994
ILEUSYN-PWY,0.04852670983525659,0.07003625908105772,0.06125929195187809,0.06267043359953889
KDO-NAGLIPASYN-PWY,0.03916763697511569,0.05503490388970836,0.058937611005707526,0.07468718917342415
KETOGLUCONMET-PWY,0.09670923623682132,0.1353978695649602,0.13308227001604792,0.13449691616127885
LACTOSECAT-PWY,0.08626212493480863,0.11817979240369622,0.13052533822383178,0.11032825086814367
LEU-DEG2-PWY,0.07416882864079459,0.10895536390862931,0.12054039158998514,0.13324475533881328
LIPASYN-PWY,0.40481498587412795,0.5161408659346521,0.5233580022789956,0.4948033936228429
LPSSYN-PWY,0.06830759546665391,0.09828615072819252,0.10017737905500929,0.09754934910565229
MET-SAM-PWY,0.0333368749743178,0.050425183535615675,0.05438468070626581,0.054944114500717345
METH-ACETATE-PWY,0.16319139926590007,0.1892861712736244,0.17399821150195788,0.1690782461511246
METHANOGENESIS-PWY,0.20706189014421336,0.2768179405811241,0.2490303153323478,0.2418968037397462
METHGLYUT-PWY,0.06868639264522446,0.09588093892300642,0.10396725769338332,0.10438417426866184
METHYLGALLATE-DEGRADATION-PWY,0.1341381270640298,0.2376266177490163,0.2695138517107557,0.2859669652515413
