id,(Intercept),Depths16-30,Depths31-45,Depths50-75
1CMET2-PWY,1.3903024107867399,0.12772549117776974,0.07033110574184834,0.005660842044501561
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-1.0028967836481826,-0.15893920589796234,-0.07755677705432944,-0.24541209756821783
AEROBACTINSYN-PWY,-4.48314421799394,-0.16665289142644402,-0.038062410804241636,-0.16186638171811896
ALL-CHORISMATE-PWY,0.5567957350397243,-0.045878297288472716,0.024662071255134047,-0.10333208166427255
ANAEROFRUCAT-PWY,1.4528328023664159,0.05749949393491046,0.02725732301360559,-0.08194581485458687
ANAGLYCOLYSIS-PWY,1.665449748537302,0.1545592353509794,0.07652845601502932,0.014623546635512123
ARG+POLYAMINE-SYN,0.8117590239265571,0.10706203310725937,0.030939062391185462,-0.06323644491222609
ARGDEG-PWY,-1.386293746695765,-0.0822170854539583,0.02337854390605773,0.060542429490543725
ARGORNPROST-PWY,-0.10525546480061543,0.007646118742689459,0.0728601859359677,-0.07788021318114813
ARGSYN-PWY,1.5470929575625831,0.18478079131463615,0.10290517145407378,0.066860634456138407
ARGSYNBSUB-PWY,1.6430144415902017,0.18142712434507163,0.09994156017616951,0.06363621086540017
ARO-PWY,1.6461261457303156,0.14558615134502612,0.06360898014751735,0.0037521498859636807
ASPASN-PWY,0.5363754140414994,-0.06379336298377584,0.016367313382906833,-0.10046152895533153
AST-PWY,-0.6260464776587895,-0.07851382845735687,0.07248820617023358,-0.019037221979013263
BENZCOA-PWY,-7.237301267206858,-0.8180879717481989,-1.255147770439986,-1.7944255126796018
BIOTIN-BIOSYNTHESIS-PWY,0.945312298526801,-0.07100873458309094,-0.07111459363269308,-0.2740011573035029
BRANCHED-CHAIN-AA-SYN-PWY,1.8469251277384906,0.18851587593496535,0.09056466652648534,0.04911067727443898
CALVIN-PWY,1.7003700315277364,0.157439618522333,0.0880267830360588,0.04065130749553159
CATECHOL-ORTHO-CLEAVAGE-PWY,-1.9429032958187307,-0.05302028943794186,-0.23673509591651476,-0.3521881055432226
CENTBENZCOA-PWY,-2.6483959195605884,0.09628986842156795,-0.0868801598267647,-0.4669947227529155
CENTFERM-PWY,-0.7841557026440586,0.275574680329726,0.3743161252260301,0.472603581299596
CHLOROPHYLL-SYN,-4.412686954614625,-0.2657189613862096,-0.3091631936284264,-0.3476253501981598
COA-PWY,1.5804018356027925,0.17073450923412087,0.08569352736917472,0.04326950875734209
COBALSYN-PWY,0.8659515658022165,0.26037303219265445,0.19273999984838486,0.22614101972278788
CODH-PWY,0.5311426027068507,0.49675556877040566,0.40164876701267327,0.4300151078381379
COLANSYN-PWY,1.312854138497956,0.1613776580913845,0.05065106170532796,-0.0240443111336778
COMPLETE-ARO-PWY,1.6970573196444416,0.14898235177354147,0.06487651059059124,0.004083098085092451
CRNFORCAT-PWY,-4.842373291522264,-0.17471776201569666,0.09315160067829648,0.06916956620731682
DAPLYSINESYN-PWY,1.3656821034879698,0.06044147844004865,0.02068874101726352,-0.08414409200478773
DENITRIFICATION-PWY,-1.682102702960524,-0.5177521357691119,-0.6581094859050589,-1.3490136951914513
DENOVOPURINE2-PWY,1.427043983303804,0.14484938845542614,0.10217979801934339,0.0794224942330588
DHGLUCONATE-PYR-CAT-PWY,-1.4652069909958776,-0.149668908317029,-0.07830629376679663,-0.17995587729062779
DTDPRHAMSYN-PWY,1.5826897744411195,0.12147303015286388,0.023459039023822847,-0.08783064679327938
ECASYN-PWY,-0.8103313813942243,-0.13279055294136471,-0.02242610829473599,-0.12111357574729406
ENTBACSYN-PWY,0.21545875821351146,-0.029761238964165757,0.12404756737218404,0.04605020782238167
FAO-PWY,1.3078200636724304,0.06771461425892085,0.01664359880495614,-0.09808829909756961
FASYN-ELONG-PWY,1.5813799572682896,-0.04281889859675993,-0.0987236043411228,-0.33192517212100014
FASYN-INITIAL-PWY,0.9870687548352723,-0.06762143955100773,-0.05241596651277337,-0.2758511539925547
FERMENTATION-PWY,1.0842210247289774,-0.055296630238903285,-0.03334851356077525,-0.19825403225265373
FOLSYN-PWY,1.299972413838292,0.018521022061167805,-0.0073010671545526325,-0.17515301294757668
FUC-RHAMCAT-PWY,-0.8035869490095795,-0.15003813603914562,-0.05141680808644461,-0.17256656403045526
FUCCAT-PWY,-0.955913474739333,-0.11574688293255518,-0.0139588151114071,-0.1254971951205346
GALACT-GLUCUROCAT-PWY,-0.11900310452807616,-0.16722281765280955,-0.10197869899432052,-0.25231331964627235
GALACTARDEG-PWY,-0.7306736746954581,-0.10574592799980158,-0.11706893354752239,-0.1831388973259164
GALACTUROCAT-PWY,0.2250966536807013,-0.15841018681493652,-0.09679178394727873,-0.2590776917761469
GALLATE-DEGRADATION-I-PWY,-3.735943386213636,-0.7507410765524454,-0.3583080676428755,-0.9212516190236781
GALLATE-DEGRADATION-II-PWY,-4.642895541111579,-0.5764892394581594,-0.18454864690962286,-0.6785001585975833
GLCMANNANAUT-PWY,-0.4201261398550198,-0.10747654801913246,-0.04441714629600288,-0.18140354458967758
GLUCARDEG-PWY,-0.8275050882577091,-0.11861705167424079,-0.1017963407682618,-0.19752941785120467
GLUCARGALACTSUPER-PWY,-0.7306736746954581,-0.10574592799980158,-0.11706893354752239,-0.1831388973259164
GLUCONEO-PWY,1.5080520232854369,0.10950324603573187,0.05755850153353277,-0.01783194538773235
GLUCOSE1PMETAB-PWY,0.3001923794842405,-0.13909210065127864,-0.010547191181236358,-0.14904069724987193
GLUCUROCAT-PWY,0.07187251123702332,-0.15363120812355174,-0.04493811822021947,-0.1868000309891042
