id,(Intercept),Depths16-30,Depths31-45,Depths50-75
1CMET2-PWY,32.02713586230211,1.9066344531050412,1.2178021634975211,0.10095048151341998
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,-16.204972243258144,-1.90113161330253,-1.0098933617119419,-2.5541126104066447
AEROBACTINSYN-PWY,-40.21750649318607,-1.1465785369390886,-0.2603398913734125,-1.1281987111808691
ALL-CHORISMATE-PWY,11.570338437340649,-0.6538316166279747,0.36956316005185175,-1.4617660518557318
ANAEROFRUCAT-PWY,55.704046616470265,1.395946503648137,0.5578504642577995,-1.9965254875176461
ANAGLYCOLYSIS-PWY,36.50080086895415,2.3010660793311546,1.2620776935393638,0.24843838799471243
ARG+POLYAMINE-SYN,26.368796209603108,2.535837376456765,0.7856212376753647,-1.75078074818088
ARGDEG-PWY,-14.625812757734574,-0.5858739478856216,0.18973012846778928,0.4386604194507087
ARGORNPROST-PWY,-2.7276312030490186,0.1402449624888498,1.2260214898871777,-1.413470631296587
ARGSYN-PWY,30.077523477621057,2.4113922799866256,1.5280515685007503,1.0126952493505117
ARGSYNBSUB-PWY,31.59111257374126,2.3608740799086267,1.477761255850852,0.9569556239731165
ARO-PWY,38.10629811556328,2.251877496127521,1.1121776627856284,0.06613365170861296
ASPASN-PWY,11.528403531996563,-0.9746359967308365,0.2794630567098547,-1.3521335330034592
AST-PWY,-7.601810957448139,-0.728155287966045,0.6294553160733656,-0.14225690915316702
BENZCOA-PWY,-16.41070932197623,-1.2585084578306573,-1.8512835961574745,-3.121611169160076
BIOTIN-BIOSYNTHESIS-PWY,32.976705551660196,-1.601825579996184,-1.64147112161656,-5.581158253998587
BRANCHED-CHAIN-AA-SYN-PWY,34.02910340781287,2.4124627577025084,1.3246853347920815,0.7080138740389155
CALVIN-PWY,36.98386800147496,2.2352854838886125,1.4081436800545821,0.6756293494586422
CATECHOL-ORTHO-CLEAVAGE-PWY,-20.546377181944326,-0.38658868879030667,-1.8119598599855957,-1.856282860988855
CENTBENZCOA-PWY,-13.282569933987867,0.4251363811598661,-0.3645545114993505,-1.654067988713679
CENTFERM-PWY,-6.974900030182896,1.5981946529589657,2.3605011719068516,3.4781908263589716
CHLOROPHYLL-SYN,-47.10510493585427,-2.1269121726348077,-2.4104752367824447,-2.7827923873751157
COA-PWY,31.56809611338419,2.284675430837404,1.2960769023433767,0.6629438594256779
COBALSYN-PWY,12.178301719618467,2.5547865199569166,2.114712943421407,2.586173028673294
CODH-PWY,3.625731116889854,2.8253933048834745,2.499293403818114,2.610353023555589
COLANSYN-PWY,27.02335539569426,2.4170555606358994,0.7950582958233463,-0.3502601137816349
COMPLETE-ARO-PWY,38.332545448827815,2.271112825732978,1.1173950637736612,0.07059876249370478
CRNFORCAT-PWY,-14.568415061062026,-0.3644732966600333,0.17208021456730258,0.13846494291421643
DAPLYSINESYN-PWY,53.682946058457816,1.573734885289185,0.550728356393521,-2.223517720597693
DENITRIFICATION-PWY,-10.792488834963327,-1.5754020938510531,-2.0760449852948155,-4.091401215498078
DENOVOPURINE2-PWY,30.41222625309526,1.8642955170880915,1.554158420011555,1.2708535838185322
DHGLUCONATE-PYR-CAT-PWY,-18.301262677245933,-1.3416208309868414,-0.6632811555257305,-1.5428014616136732
DTDPRHAMSYN-PWY,39.554893808970185,2.2093726794959614,0.45755441487504594,-1.5841349898443722
ECASYN-PWY,-9.107272198586491,-1.0533005523737227,-0.17509694683256632,-0.927730302015301
ENTBACSYN-PWY,3.105214012932188,-0.2961497411623891,1.333659366026619,0.4259372527104631
FAO-PWY,45.16516983659718,1.8080194146630946,0.383320508213826,-2.3340237031480533
FASYN-ELONG-PWY,54.167565751420554,-1.1070076990198867,-2.7259228046888984,-9.229925325413575
FASYN-INITIAL-PWY,25.5949174933749,-1.3414988449872558,-1.0325574738084256,-4.3055685062529765
FERMENTATION-PWY,35.362810805864605,-1.2468398316202,-0.7571241808014647,-3.801896552801998
FOLSYN-PWY,56.72771208749481,0.6954199801218688,-0.23156654089635129,-5.528585535549216
FUC-RHAMCAT-PWY,-9.75267535481402,-1.310471870996198,-0.4402515157618215,-1.448499461767334
FUCCAT-PWY,-11.835539598875464,-1.0384086360597493,-0.12623693169577846,-1.0363078663976069
GALACT-GLUCUROCAT-PWY,-1.550495411156298,-1.6113202974994496,-0.9047370440382685,-2.4293276475753487
GALACTARDEG-PWY,-12.986510522826634,-1.3059548305819557,-1.3256760059163826,-1.8759613895484843
GALACTUROCAT-PWY,3.1874888473926704,-1.6461547720833878,-0.9601760107346418,-2.6521329924619983
GALLATE-DEGRADATION-I-PWY,-27.833506156967424,-3.15890931255234,-1.3281852303512505,-3.2210924216827443
GALLATE-DEGRADATION-II-PWY,-26.837380221135202,-2.2716253054956246,-0.7458793844243766,-2.937339855508802
GLCMANNANAUT-PWY,-5.360601381891419,-1.0021903152615297,-0.4162356731536277,-1.6040837471964569
GLUCARDEG-PWY,-13.926846854599848,-1.4735196394909447,-1.2190734530879326,-2.0665598264544256
GLUCARGALACTSUPER-PWY,-12.986510522826634,-1.3059548305819557,-1.3256760059163826,-1.8759613895484843
GLUCONEO-PWY,44.453977050831746,2.2419628018364888,1.1709977537174519,-0.39042714171739834
GLUCOSE1PMETAB-PWY,5.685401638239037,-1.7709540028786859,-0.14956452252913113,-1.7310385282419387
GLUCUROCAT-PWY,0.845687661456929,-1.3070192871037922,-0.38162439776089835,-1.6059577019374192
GLUTORN-PWY,33.4657721618867,2.335715221695286,1.0266849263476516,-0.11685536939787473
